Col0,Col2,Col3,Col5,Col6,Col8,Col9,Col10,Col11
З-К Обл Уральск Курмангазы 87,1.51,1.24,4.93,4.973,801,0,1%,1440
С-В Обл Петропавловск Нурсултана Назарбаева 284,1.1,1.1,4.94,4.981,2136,0,4%,1050
Ман. Обл Актау 29-й мкр 22/1,0.0,1.1,4.97,4.963,74,0,0%,900
Пав. Обл Экибастуз Ауэзова 77,4.07,1.98,4.98,4.974,1630,0,1%,2400
В-К Обл Усть-Каменогорск пр-кт Казыбек би 42,0.0,2.18,4.97,4.969,968,0,1%,1150
Пав. Обл Павлодар Катаева 95,1.78,1.98,4.96,4.974,1830,0,3%,1800
Кар. Обл Балхаш мкр Шашубая 8Б,12.62,2.54,4.99,4.978,966,0,3%,1250
Кост. Обл Лисаковск 4-й мкр 25,2.09,2.12,4.94,4.97,668,0,2%,1500
Кар. Обл Караганда Крылова 50,1.63,2.54,4.98,4.978,1531,0,3%,1590
В-К Обл Усть-Каменогорск Островского 4,4.74,2.18,5.0,4.969,1307,0,4%,1040
З-К Обл Уральск Абу Бакира Кердери 122,1.97,1.24,4.98,4.973,1251,0,3%,900
Кар. Обл Темиртау Валиханова 2,2.83,2.54,4.87,4.978,792,0,2%,1240
Атыр. Обл Кульсары пр-кт Махамбета Утемисова 41А,2.88,1.89,4.87,4.964,1427,0,2%,1460
Пав. Обл Павлодар Естая 150,5.75,1.98,4.98,4.974,1486,0,3%,1300
В-К Обл Усть-Каменогорск Утепова 7,10.47,2.18,4.95,4.969,1988,0,2%,1280
В-К Обл Шемонаиха Момышулы 21,1.72,2.18,4.99,4.969,2014,0,3%,1540
Актюбинская область Хромтау Тахауи Ахтанова 102Б,0.0,1.39,4.97,4.977,594,0,3%,1470
Сарань Горняк 131Б,2.58,2.54,4.96,4.978,1347,0,6%,740
З-К Обл Уральск Нур 5,2.38,1.24,4.99,4.973,877,0,1%,1130
С-В Обл Петропавловск Ауэзова 147,1.61,1.1,5.0,4.981,1600,0,5%,1350
В-К Обл Семей Байтурсынова 4,2.03,1.8,5.0,4.98,1774,0,3%,2060
Пав. Обл Павлодар Сураганова 22,1.46,1.98,4.95,4.974,1237,0,2%,1320
Кар. Обл Темиртау Сакена Сейфуллина 51,2.07,2.54,4.99,4.978,715,0,1%,1760
В-К Обл Усть-Каменогорск Калихана Ыскака 4,4.75,2.18,4.95,4.969,1166,0,2%,1560
Акм. Обл Степногорск 3-й мкр 25,1.07,1.75,4.99,4.975,755,0,2%,1200
Актюбинская область Актобе Братьев Жубановых 298,1.26,1.39,4.98,4.977,1838,0,5%,1030
В-К Обл Усть-Каменогорск Крылова 66,2.41,2.18,4.97,4.969,1884,0,3%,1140
Актюбинская область Актобе Есет Батыра 158,1.6,1.39,5.0,4.977,1524,0,2%,1120
В-К Обл Семей Мамай батыра 99,1.67,1.8,5.0,4.98,1842,0,1%,1470
Акт. Обл Хромтау Мухтара Ауезова 3,8.3,1.39,4.93,4.977,1370,0,5%,1130
В-К Обл Усть-Каменогорск Антона Чехова 71,2.27,2.18,4.97,4.969,2328,0,2%,1630
В-К Обл Усть-Каменогорск Казахстан 85,2.77,2.18,4.86,4.969,2249,0,4%,980
Актюбинская область Актобе Шокана Уалиханова 35Б,1.25,1.39,4.95,4.977,1420,0,1%,2380
Пав. Обл Павлодар Кабдеша Нуркина 72,0.3,1.98,4.94,4.974,1349,0,2%,1190
В-К Обл пос Усть-Таловка Василия Шаламова 1,1.24,2.18,4.98,4.969,1074,0,3%,1230
Атыр. Обл Атырау мкр Авангард-2 11Б,3.09,1.89,4.98,4.964,2098,0,2%,1500
Кост. Обл Костанай Чехова 105А/1,1.56,2.12,4.96,4.97,545,0,1%,1050
В-К Обл Алтай Жаксыбаева 47,1.95,2.18,4.98,4.969,1419,0,3%,1560
Акт. Обл Актобе Шернияза Жарылгас-улы 51,0.74,1.39,4.98,4.977,1118,0,2%,1350
В-К Обл Усть-Каменогорск Жастар 31,0.0,2.18,4.92,4.969,453,0,0%,1660
Актау мкр 1 14,1.4,1.1,4.97,4.963,1165,0,2%,720
Кост. Обл Костанай Победы 104,1.87,2.12,4.93,4.97,580,0,1%,1110
Атыр. Обл Атырау Мусы Баймуханова 21,1.62,1.89,4.94,4.964,819,0,2%,1200
З-К Обл город Аксай 20/1,1.14,1.24,4.97,4.973,1330,0,3%,1020
Кар. Обл Караганда пр-кт Шахтёров 31/4,1.03,2.54,4.98,4.978,1044,0,1%,1560
В-К Обл Усть-Каменогорск наб Славского 30,2.21,2.18,4.98,4.969,662,0,1%,1500
Ман. Обл Жанаозен мкр Самал 28,3.32,1.1,4.93,4.963,2507,0,4%,990
В-К Обл Риддер пр-кт Независимости 18,2.46,2.18,4.96,4.969,1331,0,4%,840
Актау 12-й мкр 20,3.47,1.1,4.98,4.963,1090,0,3%,810
Кар. Обл Караганда Абая 43,0.59,2.54,4.99,4.978,1649,0,2%,2560
Актау 9-й мкр 25,5.51,1.1,4.98,4.963,1483,0,2%,1540
В-К Обл Усть-Каменогорск Карбышева 40,9.21,2.18,4.97,4.969,1635,0,3%,1880
З-К Обл Уральск 21,1.83,1.24,4.98,4.973,1368,0,2%,1140
З-К Обл город Аксай 14,0.6,1.24,4.99,4.973,1203,0,2%,1050
В-К Обл Алтай Тауелсыздык 17,1.94,2.18,4.99,4.969,2347,0,4%,1340
Кар. Обл Караганда Ермекова 54/1,0.88,2.54,5.0,4.978,1483,0,1%,1410
В-К Обл Усть-Каменогорск Крылова 80,3.66,2.18,4.98,4.969,1895,0,3%,1520
Атыр. Обл пос Балыкши Аральская 2,2.89,1.89,4.98,4.964,964,0,1%,1540
область Абай Семей Беспаева 28,1.9,1.8,4.99,4.98,982,0,1%,1350
Атыр. Обл Атырау мкр Нурсая 18,1.89,1.89,4.89,4.964,2173,0,2%,1570
Актау 15-й мкр 69,4.49,1.1,4.97,4.963,1426,0,2%,1460
Шымкент Казыбек би 51,4.64,2.18,4.96,4.971,475,0,1%,1350
В-К Обл Усть-Каменогорск пр-кт Ауэзова 24,4.28,2.18,4.98,4.969,643,0,2%,1020
Караганда Гоголя 51,0.55,2.54,4.99,4.978,1374,0,4%,1130
